iter	Passed	Remaining
202	900	3537
203	906	3537
204	913	3541
205	917	3537
206	921	3531
207	926	3526
208	931	3526
209	937	3527
210	941	3520
211	945	3513
212	955	3531
213	960	3526
214	964	3522
215	969	3517
216	973	3512
217	978	3510
218	984	3509
219	988	3505
220	997	3515
221	1003	3515
222	1009	3518
223	1015	3516
224	1020	3514
225	1025	3513
226	1030	3509
227	1035	3506
228	1040	3501
229	1044	3495
230	1048	3490
231	1053	3486
232	1061	3494
233	1065	3487
234	1069	3480
235	1074	3477
236	1090	3509
237	1097	3513
238	1107	3527
239	1113	3525
240	1118	3523
241	1124	3521
242	1127	3513
243	1131	3506
244	1135	3500
245	1140	3494
246	1144	3488
247	1147	3479
248	1151	3472
249	1155	3465
250	1158	3456
251	1161	3448
252	1165	3440
253	1169	3433
254	1172	3426
255	1176	3420
256	1180	3412
257	1182	3401
258	1186	3394
259	1189	3385
260	1193	3379
261	1197	3373
262	1201	3367
263	1205	3361
264	1211	3359
265	1214	3352
266	1218	3344
267	1222	3339
268	1226	3332
269	1230	3326
270	1233	3319
271	1236	3308
272	1239	3301
273	1243	3294
274	1247	3288
275	1251	3282
276	1255	3276
277	1259	3270
278	1263	3266
279	1267	3259
280	1270	3251
281	1274	3244
282	1278	3238
283	1281	3230
284	1284	3223
285	1288	3216
286	1292	3209
287	1295	3201
288	1298	3195
289	1302	3188
290	1305	3181
291	1309	3174
292	1313	3169
293	1317	3163
294	1321	3157
295	1325	3153
296	1329	3147
297	1335	3145
298	1339	3140
299	1344	3138
300	1349	3134
301	1354	3130
302	1360	3129
303	1365	3125
304	1370	3123
305	1377	3124
306	1382	3121
307	1387	3116
308	1391	3112
309	1396	3107
310	1400	3102
311	1403	3095
312	1409	3093
313	1413	3087
314	1416	3080
315	1430	3096
316	1436	3094
317	1441	3090
318	1445	3084
319	1449	3079
320	1454	3075
321	1458	3071
322	1462	3065
323	1467	3060
324	1473	3060
325	1478	3056
326	1482	3050
327	1487	3046
328	1491	3040
329	1494	3035
330	1508	3049
331	1513	3044
332	1517	3040
333	1521	3034
334	1525	3028
335	1529	3022
336	1533	3017
337	1537	3012
338	1542	3007
339	1546	3002
340	1551	2998
341	1555	2993
342	1559	2987
343	1563	2981
344	1568	2977
345	1572	2972
346	1577	2967
347	1581	2962
348	1585	2957
349	1589	2952
350	1593	2946
351	1599	2943
352	1602	2938
353	1608	2934
354	1612	2929
355	1616	2923
356	1620	2917
357	1624	2912
358	1627	2905
359	1631	2900
360	1635	2894
361	1639	2888
362	1643	2883
363	1647	2879
364	1653	2876
365	1657	2871
366	1663	2868
367	1668	2864
368	1671	2858
369	1675	2853
370	1679	2848
371	1683	2841
372	1686	2835
373	1690	2829
374	1694	2823
375	1698	2818
376	1702	2812
377	1705	2806
378	1710	2802
379	1715	2799
380	1720	2795
381	1724	2789
382	1728	2784
383	1732	2779
384	1736	2774
385	1741	2770
386	1745	2765
387	1749	2759
388	1753	2754
389	1762	2756
390	1766	2751
391	1771	2747
392	1775	2742
393	1779	2737
394	1784	2732
395	1788	2728
396	1793	2723
397	1797	2718
398	1801	2712
399	1805	2708
400	1812	2706
401	1816	2701
402	1820	2696
403	1824	2691
404	1828	2686
405	1833	2682
406	1840	2681
407	1859	2697
408	1865	2695
409	1870	2692
410	1875	2688
411	1883	2687
412	1888	2683
413	1894	2681
414	1897	2675
415	1901	2669
416	1905	2664
417	1909	2659
418	1913	2653
419	1918	2649
420	1922	2644
421	1927	2639
422	1931	2634
423	1935	2628
424	1939	2623
425	1943	2618
426	1947	2613
427	1951	2607
428	1954	2602
429	1958	2596
430	1963	2592
431	1968	2588
432	1973	2583
433	1976	2577
434	1980	2572
435	1984	2566
436	1987	2561
437	1991	2555
438	1994	2549
439	1998	2543
440	2002	2537
441	2005	2532
442	2009	2526
443	2014	2523
444	2018	2517
445	2022	2511
446	2026	2507
447	2030	2502
448	2034	2496
449	2038	2491
450	2041	2485
451	2045	2480
452	2049	2475
453	2053	2469
454	2057	2464
455	2061	2459
456	2065	2454
457	2069	2448
458	2072	2443
459	2076	2437
460	2080	2432
461	2084	2427
462	2088	2422
463	2092	2417
464	2096	2412
465	2100	2406
466	2104	2401
467	2108	2396
468	2112	2391
469	2116	2386
470	2119	2380
471	2124	2376
472	2127	2370
473	2131	2365
474	2135	2360
475	2139	2354
476	2143	2349
477	2148	2346
478	2152	2341
479	2157	2337
480	2161	2332
481	2165	2327
482	2169	2321
483	2173	2317
484	2177	2312
485	2181	2307
486	2185	2302
487	2189	2297
488	2193	2292
489	2197	2287
490	2201	2282
491	2205	2277
492	2209	2272
493	2213	2266
494	2223	2268
495	2227	2263
496	2231	2258
497	2235	2253
498	2238	2247
499	2242	2242
500	2245	2236
501	2249	2231
502	2252	2225
503	2256	2221
504	2260	2215
505	2264	2210
506	2268	2205
507	2272	2200
508	2275	2195
509	2279	2190
510	2283	2185
511	2287	2180
512	2291	2175
513	2294	2169
514	2298	2164
515	2302	2159
516	2305	2154
517	2309	2148
518	2313	2144
519	2317	2139
520	2321	2134
521	2325	2129
522	2329	2124
523	2333	2119
524	2336	2114
525	2340	2108
526	2344	2104
527	2348	2099
528	2352	2094
529	2355	2088
530	2363	2087
531	2366	2082
532	2370	2076
533	2373	2071
534	2378	2067
535	2382	2062
536	2386	2057
537	2391	2053
538	2395	2049
539	2399	2044
540	2403	2039
541	2407	2034
542	2411	2029
543	2415	2024
544	2418	2019
545	2423	2014
546	2428	2010
547	2432	2006
548	2435	2000
549	2439	1996
550	2443	1991
551	2446	1985
552	2451	1981
553	2456	1977
554	2460	1972
555	2464	1968
556	2469	1963
557	2474	1960
558	2479	1955
559	2483	1951
560	2487	1946
561	2492	1942
562	2496	1938
563	2503	1935
564	2507	1930
565	2510	1924
566	2514	1920
567	2517	1914
568	2521	1909
569	2525	1904
570	2528	1899
571	2531	1894
572	2534	1889
573	2538	1884
574	2542	1879
575	2546	1874
576	2550	1869
577	2554	1865
578	2558	1860
579	2562	1855
580	2566	1850
581	2572	1847
582	2578	1844
583	2582	1839
584	2587	1835
585	2591	1831
586	2595	1826
587	2600	1822
588	2605	1818
589	2609	1813
590	2614	1809
591	2619	1805
592	2624	1801
593	2628	1796
594	2633	1792
595	2638	1788
596	2642	1783
597	2646	1778
598	2650	1774
599	2654	1769
600	2657	1764
601	2661	1759
602	2665	1754
603	2669	1750
604	2672	1745
605	2676	1740
606	2680	1735
607	2684	1730
608	2688	1726
609	2692	1721
610	2695	1716
611	2699	1711
612	2702	1706
613	2706	1701
614	2710	1696
615	2715	1692
616	2719	1687
617	2722	1683
618	2727	1678
619	2731	1673
620	2735	1669
621	2741	1666
622	2745	1661
623	2750	1657
624	2755	1653
625	2760	1649
626	2765	1645
627	2770	1641
628	2776	1637
629	2780	1633
630	2785	1628
631	2790	1624
632	2794	1620
633	2799	1615
634	2803	1611
635	2808	1607
636	2812	1603
637	2817	1598
638	2823	1594
639	2827	1590
640	2830	1585
641	2835	1581
642	2839	1576
643	2843	1571
644	2847	1567
645	2851	1562
646	2855	1557
647	2859	1553
648	2863	1548
649	2866	1543
650	2869	1538
651	2872	1533
652	2876	1528
653	2879	1523
654	2882	1518
655	2887	1514
656	2890	1509
657	2894	1504
658	2897	1499
659	2902	1495
660	2905	1490
661	2909	1485
662	2912	1480
663	2916	1475
664	2919	1470
665	2923	1465
666	2926	1461
667	2930	1456
668	2934	1451
669	2939	1447
670	2943	1443
671	2948	1439
672	2952	1434
673	2957	1430
674	2962	1426
675	2967	1422
676	2973	1418
677	2978	1414
678	2984	1410
679	2987	1405
680	2991	1401
681	2995	1396
682	3000	1392
683	3005	1388
684	3010	1384
685	3016	1380
686	3020	1376
687	3025	1371
688	3029	1367
689	3032	1362
690	3036	1357
691	3040	1353
692	3043	1348
693	3048	1343
694	3051	1339
695	3056	1334
696	3060	1330
697	3064	1325
698	3068	1321
699	3072	1316
700	3076	1312
701	3079	1307
702	3083	1302
703	3087	1298
704	3091	1293
705	3096	1289
706	3100	1284
707	3104	1280
708	3108	1275
709	3112	1271
710	3116	1266
711	3120	1262
712	3125	1257
713	3128	1253
714	3132	1248
715	3136	1244
716	3141	1239
717	3144	1235
718	3148	1230
719	3152	1225
720	3157	1221
721	3161	1217
722	3164	1212
723	3168	1208
724	3173	1203
725	3176	1198
726	3180	1194
727	3184	1189
728	3188	1185
729	3192	1180
730	3196	1176
731	3200	1171
732	3204	1167
733	3208	1162
734	3212	1158
735	3216	1153
736	3222	1149
737	3226	1145
738	3233	1141
739	3237	1137
740	3241	1132
741	3245	1128
742	3250	1124
743	3254	1119
744	3259	1115
745	3263	1111
746	3268	1106
747	3272	1102
748	3276	1097
749	3279	1093
750	3283	1088
751	3287	1084
752	3292	1079
753	3296	1075
754	3300	1071
755	3305	1066
756	3310	1062
757	3314	1058
758	3318	1053
759	3323	1049
760	3327	1045
761	3331	1040
762	3336	1036
763	3340	1031
764	3345	1027
765	3350	1023
766	3353	1018
767	3357	1014
768	3361	1009
769	3366	1005
770	3369	1000
771	3374	996
772	3378	992
773	3382	987
774	3387	983
775	3391	979
776	3397	975
777	3400	970
778	3404	965
779	3408	961
780	3413	957
781	3417	952
782	3422	948
783	3426	944
784	3430	939
785	3434	935
786	3440	931
787	3446	927
788	3452	923
789	3457	918
790	3461	914
791	3465	910
792	3468	905
793	3473	901
794	3477	896
795	3481	892
796	3484	887
797	3489	883
798	3493	878
799	3497	874
800	3501	869
801	3505	865
802	3509	861
803	3513	856
804	3517	852
805	3521	847
806	3525	843
807	3529	838
808	3535	834
809	3540	830
810	3544	825
811	3548	821
812	3552	817
813	3556	812
814	3560	808
815	3565	803
816	3569	799
817	3573	795
818	3577	790
819	3581	786
820	3587	782
821	3591	777
822	3596	773
823	3600	768
824	3604	764
825	3607	759
826	3612	755
827	3616	751
828	3621	746
829	3625	742
830	3629	738
831	3633	733
832	3637	729
833	3640	724
834	3644	720
835	3649	715
836	3653	711
837	3657	707
838	3660	702
839	3664	697
840	3667	693
841	3671	688
842	3675	684
843	3679	680
844	3683	675
845	3687	671
846	3690	666
847	3693	662
848	3697	657
849	3701	653
850	3705	648
851	3709	644
852	3712	639
853	3716	635
854	3719	630
855	3722	626
856	3726	621
857	3730	617
858	3733	612
859	3737	608
860	3741	603
861	3744	599
862	3748	595
863	3751	590
864	3754	586
865	3758	581
866	3762	577
867	3765	572
868	3768	568
869	3772	563
870	3776	559
871	3780	554
872	3783	550
873	3786	545
874	3790	541
875	3794	537
876	3798	532
877	3801	528
878	3805	523
879	3809	519
880	3812	515
881	3816	510
882	3819	506
883	3823	501
884	3826	497
885	3830	492
886	3833	488
887	3836	483
888	3841	479
889	3844	475
890	3847	470
891	3850	466
892	3854	461
893	3858	457
894	3862	453
895	3868	448
896	3872	444
897	3876	440
898	3879	435
899	3883	431
900	3887	427
901	3891	422
902	3895	418
903	3900	414
904	3905	409
905	3909	405
906	3912	401
907	3916	396
908	3921	392
909	3925	388
910	3929	383
911	3934	379
912	3940	375
913	3943	371
914	3947	366
915	3952	362
916	3956	358
917	3960	353
918	3964	349
919	3969	345
920	3973	340
921	3976	336
922	3980	332
923	3983	327
924	3987	323
925	3991	318
926	3994	314
927	3998	310
928	4002	305
929	4005	301
930	4009	297
931	4014	292
932	4018	288
933	4022	284
934	4025	279
935	4029	275
936	4033	271
937	4036	266
938	4040	262
939	4043	258
940	4047	253
941	4051	249
942	4054	245
943	4057	240
944	4061	236
945	4065	232
946	4069	227
947	4072	223
948	4078	219
949	4082	214
950	4086	210
951	4089	206
952	4094	201
953	4098	197
954	4102	193
955	4106	188
956	4110	184
957	4113	180
958	4117	176
959	4120	171
960	4124	167
961	4127	163
962	4130	158
963	4133	154
964	4137	150
965	4140	145
966	4143	141
967	4147	137
968	4150	132
969	4153	128
970	4158	124
971	4162	119
972	4166	115
973	4169	111
974	4173	107
975	4176	102
976	4179	98
977	4182	94
978	4186	89
979	4190	85
980	4193	81
981	4196	76
982	4199	72
983	4203	68
984	4207	64
985	4210	59
986	4213	55
987	4216	51
988	4219	46
989	4223	42
990	4226	38
991	4230	34
992	4234	29
993	4239	25
994	4243	21
995	4247	17
996	4252	12
997	4257	8
998	4261	4
999	4265	0
