iter	Logloss
0	0.6788603572
1	0.6659693748
2	0.6539693323
3	0.6414930856
4	0.630251298
5	0.6193495634
6	0.6091515474
7	0.5999869589
8	0.5912657554
9	0.5824855747
10	0.574481954
11	0.5665745706
12	0.5602932569
13	0.5538997295
14	0.5474494995
15	0.5408664761
16	0.5346956431
17	0.5289001194
18	0.5234107463
19	0.5183422288
20	0.5136225378
21	0.5089155195
22	0.504721749
23	0.5005802943
24	0.4970259578
25	0.4934170849
26	0.4899791322
27	0.4865811474
28	0.4830070976
29	0.4806598166
30	0.4776535508
31	0.4746540005
32	0.4716109079
33	0.4686923767
34	0.4661785082
35	0.463532496
36	0.4616278959
37	0.4594368042
38	0.4576670013
39	0.4556353484
40	0.4538193764
41	0.4517904855
42	0.4499563168
43	0.4483020312
44	0.446621696
45	0.4449408192
46	0.4431873447
47	0.4416285924
48	0.4400403514
49	0.4387769724
50	0.4376162755
51	0.4364656518
52	0.4351102597
53	0.4339176642
54	0.432949144
55	0.4316729027
56	0.4307019996
57	0.4297874742
58	0.4287477102
59	0.4279179137
60	0.4268052813
61	0.4258228698
62	0.4250644254
63	0.424206061
64	0.4233783766
65	0.4225077185
66	0.4217465933
67	0.4210283606
68	0.4202958846
69	0.4195620005
70	0.4188387311
71	0.4180040876
72	0.4172388464
73	0.4166752596
74	0.4160477402
75	0.4155241214
76	0.4149706078
77	0.4142809701
78	0.4137599779
79	0.4131123121
80	0.4126433378
81	0.4120888765
82	0.4115611959
83	0.4111262324
84	0.4105402516
85	0.409990177
86	0.4096144073
87	0.4091923061
88	0.4086752132
89	0.4081758298
90	0.407840326
91	0.4074831051
92	0.4070029475
93	0.4065725061
94	0.4060728518
95	0.4059260046
96	0.4054615525
97	0.405114432
98	0.4048277509
99	0.4044968775
100	0.404168712
101	0.4037942963
102	0.4034804553
103	0.403124101
104	0.4027903302
105	0.4025018348
106	0.4021726133
107	0.4017243542
108	0.4013617989
109	0.4009063639
110	0.40052396
111	0.4001050812
112	0.3998806809
113	0.3994863082
114	0.3992630181
115	0.3989176035
116	0.398609747
117	0.3982874033
118	0.3980753509
119	0.3978472949
120	0.3975221351
121	0.3972281428
122	0.3968773396
123	0.3966316284
124	0.3963201704
125	0.3960324061
126	0.3958053521
127	0.3955660856
128	0.395300228
129	0.3950127616
130	0.3947449543
131	0.3945393736
132	0.3943730568
133	0.3941389895
134	0.393930403
135	0.3937992614
136	0.3935108202
137	0.3933142837
138	0.3930908853
139	0.3929265724
140	0.3926585484
141	0.3923790973
142	0.3921307324
143	0.391752986
144	0.3915791414
145	0.391344045
146	0.391195194
147	0.3908724984
148	0.3906275454
149	0.3904053655
150	0.3900129154
151	0.3898640644
152	0.3896699379
153	0.389545268
154	0.3894087919
155	0.389207273
156	0.3890210806
157	0.3887493198
158	0.3885870378
159	0.3884801856
160	0.3883180119
161	0.3880338762
162	0.387930788
163	0.3877812329
164	0.387613833
165	0.3874478683
166	0.3872897293
167	0.3869882362
168	0.3868220278
169	0.3865198577
170	0.3862996275
171	0.3861402429
172	0.3860550807
173	0.3857337931
174	0.3854609492
175	0.3853558572
176	0.3851405552
177	0.3848581526
178	0.3846382202
179	0.3843440654
180	0.3841417341
181	0.3840132733
182	0.3838883056
183	0.3836892779
184	0.3834024614
185	0.3831364683
186	0.3830263668
187	0.3829133407
188	0.3827427185
189	0.3825026125
190	0.3822781039
191	0.3822478571
192	0.3820518893
193	0.3818484207
194	0.3816902276
195	0.3815148666
196	0.3813063343
197	0.3811630344
198	0.3810004545
199	0.3807974733
200	0.3806458061
201	0.3804827659
202	0.3803644324
203	0.3801644299
204	0.3800061826
205	0.3798407053
206	0.3796588996
207	0.3793946937
208	0.3792564575
209	0.3790080384
210	0.3788413155
211	0.3787354653
212	0.3785869121
213	0.3784924078
214	0.3783280678
215	0.3781377053
216	0.3780169618
217	0.3778839518
218	0.3776017386
219	0.3773985679
220	0.3770999451
221	0.3769140235
222	0.3766991007
223	0.3765392557
224	0.3764471343
225	0.3762494606
226	0.3760214317
227	0.3758750178
228	0.3757880142
229	0.3754567618
230	0.375310754
